Altium Designer Pick and Place Locations
C:\Dott\LIDO\lido-hardware\LIDO_HW_2022_04_V01\Output Documents\04_Fabrication_Files\PickAndPlace\LIDO_V03_DEVELOPMENT_04_07_2022.txt

========================================================================================================================
File Design Information:

Date:       02/07/22
Time:       21:35
Revision:   872b464fc55dbc7c29d34195fc9c3aeae9c73039
Variant:    DEVELOPMENT
Units used: mm

Designator Layer       Footprint                                     Center-X(mm) Center-Y(mm) Rotation Description                                                                                               "Manufacturer Part Number"         Manufacturer                        
R163       BottomLayer RES_0603_1608X60-N_YAGEO_A                    32.6000      29.0000      0        "RES SMD 10 OHM 5% 1/4W 0603"                                                                             ESR03EZPJ100                       "Rohm Semiconductor"                
R161       BottomLayer RES_0603_1608X60-N_YAGEO_A                    34.3750      24.7000      180      "RES 0 OHM JUMPER 1/10W 0603"                                                                             RC0603JR-070RL                     YAGEO                               
R158       BottomLayer RES_0603_1608X60-N_YAGEO_A                    30.0000      21.9000      0        "RES 0 OHM JUMPER 1/10W 0603"                                                                             RC0603JR-070RL                     YAGEO                               
R156       BottomLayer RES_0603_1608X60-N_YAGEO_A                    46.6000      26.3000      180      "RES 0 OHM JUMPER 1/10W 0603"                                                                             RC0603JR-070RL                     YAGEO                               
R155       BottomLayer RES_0603_1608X60-N_YAGEO_A                    46.6000      23.2000      180      "RES 0 OHM JUMPER 1/10W 0603"                                                                             RC0603JR-070RL                     YAGEO                               
R150       BottomLayer RES_0603_1608X60-N_YAGEO_A                    30.0000      23.3000      0        "RES 0 OHM JUMPER 1/10W 0603"                                                                             RC0603JR-070RL                     YAGEO                               
R149       BottomLayer RES_0603_1608X60-N_YAGEO_A                    30.0000      26.1000      0        "RES 0 OHM JUMPER 1/10W 0603"                                                                             RC0603JR-070RL                     YAGEO                               
R148       BottomLayer RES_0603_1608X60-N_YAGEO_A                    46.6000      24.8000      180      "RES 0 OHM JUMPER 1/10W 0603"                                                                             RC0603JR-070RL                     YAGEO                               
R147       BottomLayer RES_0603_1608X60-N_YAGEO_A                    46.6000      21.7000      180      "RES 0 OHM JUMPER 1/10W 0603"                                                                             RC0603JR-070RL                     YAGEO                               
R144       BottomLayer RES_0603_1608X60-N_YAGEO_A                    78.6000      32.3231      180      "RES 0 OHM JUMPER 1/10W 0603"                                                                             RC0603JR-070RL                     YAGEO                               
R143       BottomLayer RES_0603_1608X60-N_YAGEO_A                    38.8000      11.5997      0        "RES SMD 47K OHM 1% 1/10W 0603"                                                                           ERJ-3EKF4702V                      "Panasonic Electronic Components"   
R142       BottomLayer RES_0603_1608X60-N_YAGEO_A                    56.5000      3.8000       0        "RES 0 OHM JUMPER 1/10W 0603"                                                                             RC0603JR-070RL                     YAGEO                               
R141       BottomLayer RES_0603_1608X60-N_YAGEO_A                    38.8000      10.1000      0        "RES SMD 47K OHM 1% 1/10W 0603"                                                                           ERJ-3EKF4702V                      "Panasonic Electronic Components"   
R138       BottomLayer RES_0603_1608X60-N_YAGEO_A                    30.6000      15.9000      0        "RES 0 OHM JUMPER 1/10W 0603"                                                                             RC0603JR-070RL                     YAGEO                               
R137       BottomLayer RES_0603_1608X60-N_YAGEO_A                    49.3000      9.9000       270      "RES SMD 47K OHM 1% 1/10W 0603"                                                                           ERJ-3EKF4702V                      "Panasonic Electronic Components"   
R136       TopLayer    RES_0603_1608X60-N_YAGEO_A                    45.7000      1.5997       180      "RES SMD 47K OHM 1% 1/10W 0603"                                                                           ERJ-3EKF4702V                      "Panasonic Electronic Components"   
R135       BottomLayer RES_0603_1608X60-N_YAGEO_A                    53.1250      1.6250       180      "RES SMD 47K OHM 1% 1/10W 0603"                                                                           ERJ-3EKF4702V                      "Panasonic Electronic Components"   
R134       BottomLayer RES_0603_1608X60-N_YAGEO_A                    47.8000      9.9000       90       "RES 10K OHM 1% 1/10W 0603"                                                                               RC0603FR-0710KL                    YAGEO                               
R133       TopLayer    RES_0603_1608X60-N_YAGEO_A                    45.7074      4.5000       0        "RES 10K OHM 1% 1/10W 0603"                                                                               RC0603FR-0710KL                    YAGEO                               
R132       BottomLayer RES_0603_1608X60-N_YAGEO_A                    49.5997      2.5000       90       "RES 10K OHM 1% 1/10W 0603"                                                                               RC0603FR-0710KL                    YAGEO                               
R131       BottomLayer RES_0603_1608X60-N_YAGEO_A                    28.5000      6.4000       90       "RES SMD 20K OHM 1% 1/10W 0603"                                                                           ERJ-3EKF2002V                      "Panasonic Electronic Components"   
R130       BottomLayer RES_0603_1608X60-N_YAGEO_A                    21.8000      7.4000       180      "RES SMD 4.7K OHM 1% 1/10W 0603"                                                                          ERJ-3EKF4701V                      "Panasonic Electronic Components"   
R129       BottomLayer RES_0603_1608X60-N_YAGEO_A                    29.9000      5.7000       270      "RES 10K OHM 1% 1/10W 0603"                                                                               RC0603FR-0710KL                    YAGEO                               
R128       TopLayer    RES_0603_1608X60-N_YAGEO_A                    28.9000      2.4000       270      "RES SMD 20K OHM 1% 1/10W 0603"                                                                           ERJ-3EKF2002V                      "Panasonic Electronic Components"   
R127       TopLayer    RES_0603_1608X60-N_YAGEO_A                    22.5000      2.4500       180      "RES SMD 4.7K OHM 1% 1/10W 0603"                                                                          ERJ-3EKF4701V                      "Panasonic Electronic Components"   
R126       TopLayer    RES_0603_1608X60-N_YAGEO_A                    30.5000      2.4000       90       "RES 10K OHM 1% 1/10W 0603"                                                                               RC0603FR-0710KL                    YAGEO                               
R125       TopLayer    RES_0603_1608X60-N_YAGEO_A                    28.9000      6.4000       90       "RES SMD 20K OHM 1% 1/10W 0603"                                                                           ERJ-3EKF2002V                      "Panasonic Electronic Components"   
R124       TopLayer    RES_0603_1608X60-N_YAGEO_A                    22.5000      7.2500       180      "RES SMD 4.7K OHM 1% 1/10W 0603"                                                                          ERJ-3EKF4701V                      "Panasonic Electronic Components"   
R123       TopLayer    RES_0603_1608X60-N_YAGEO_A                    30.3000      6.4000       270      "RES 10K OHM 1% 1/10W 0603"                                                                               RC0603FR-0710KL                    YAGEO                               
R122       BottomLayer RES_0603_1608X60-N_YAGEO_A                    28.5000      2.8000       270      "RES SMD 20K OHM 1% 1/10W 0603"                                                                           ERJ-3EKF2002V                      "Panasonic Electronic Components"   
R121       BottomLayer RES_0603_1608X60-N_YAGEO_A                    21.9000      2.4500       180      "RES SMD 4.7K OHM 1% 1/10W 0603"                                                                          ERJ-3EKF4701V                      "Panasonic Electronic Components"   
R120       BottomLayer RES_0603_1608X60-N_YAGEO_A                    29.9000      2.6000       90       "RES 10K OHM 1% 1/10W 0603"                                                                               RC0603FR-0710KL                    YAGEO                               
R119       BottomLayer RES_0805_2012X65-N_YAGEO_A                    19.6000      28.4000      270      "RES SMD 0 OHM JUMPER 1/8W 0805"                                                                          ERJ-6GEY0R00V                      "Panasonic Electronic Components"   
R118       BottomLayer RES_0805_2012X65-N_YAGEO_A                    7.8000       31.0000      90       "RES SMD 0 OHM JUMPER 1/8W 0805"                                                                          ERJ-6GEY0R00V                      "Panasonic Electronic Components"   
R117       BottomLayer RES_0603_1608X60-N_YAGEO_A                    72.6000      1.6000       0        "RES SMD 76.8K OHM 1% 1/10W 0603"                                                                         ERJ-3EKF7682V                      "Panasonic Electronic Components"   
R116       BottomLayer RES_0805_2012X65-N_YAGEO_A                    64.8750      3.3750       180      "RES SMD 0 OHM JUMPER 1/8W 0805"                                                                          ERJ-6GEY0R00V                      "Panasonic Electronic Components"   
R115       BottomLayer RES_0603_1608X60-N_YAGEO_A                    76.0003      5.8503       270      "RES 10K OHM 1% 1/10W 0603"                                                                               RC0603FR-0710KL                    YAGEO                               
R114       BottomLayer RES_0603_1608X60-N_YAGEO_A                    76.0003      3.0500       90       "RES 10K OHM 1% 1/10W 0603"                                                                               RC0603FR-0710KL                    YAGEO                               
R113       BottomLayer RES_0603_1608X60-N_YAGEO_A                    15.3000      41.2000      270      "RES 10K OHM 1% 1/10W 0603"                                                                               RC0603FR-0710KL                    YAGEO                               
R112       BottomLayer RES_0603_1608X60-N_YAGEO_A                    13.8502      41.2500      90       "RES SMD 56.2K OHM 1% 1/10W 0603"                                                                         ERJ-3EKF5622V                      "Panasonic Electronic Components"   
R111       TopLayer    RES_0805_2012X65-N_YAGEO_A                    7.6000       31.0000      270      "RES SMD 0 OHM JUMPER 1/8W 0805"                                                                          ERJ-6GEY0R00V                      "Panasonic Electronic Components"   
R110       TopLayer    RES_0805_2012X65-N_YAGEO_A                    21.0000      33.2000      90       "RES SMD 0 OHM JUMPER 1/8W 0805"                                                                          ERJ-6GEY0R00V                      "Panasonic Electronic Components"   
R109       TopLayer    RES_0805_2012X65-N_YAGEO_A                    25.0000      31.0000      180      "RES SMD 0 OHM JUMPER 1/8W 0805"                                                                          ERJ-6GEY0R00V                      "Panasonic Electronic Components"   
R108       BottomLayer RES_0603_1608X60-N_YAGEO_A                    74.2000      36.0000      270      "RES 10K OHM 1% 1/10W 0603"                                                                               RC0603FR-0710KL                    YAGEO                               
R107       TopLayer    RES_0603_1608X60-N_YAGEO_A                    63.9000      42.5000      180      "RES SMD 47 OHM 5% 1/4W 0603"                                                                             ERJ-PA3J470V                       "Panasonic Electronic Components"   
R106       BottomLayer RES_0603_1608X60-N_YAGEO_A                    64.0000      39.4000      180      "RES SMD 47 OHM 5% 1/4W 0603"                                                                             ERJ-PA3J470V                       "Panasonic Electronic Components"   
R105       BottomLayer RES_0603_1608X60-N_YAGEO_A                    64.9000      42.5000      0        "RES SMD 47 OHM 5% 1/4W 0603"                                                                             ERJ-PA3J470V                       "Panasonic Electronic Components"   
R104       BottomLayer RES_0603_1608X60-N_YAGEO_A                    64.9000      41.1000      0        "RES SMD 47 OHM 5% 1/4W 0603"                                                                             ERJ-PA3J470V                       "Panasonic Electronic Components"   
R103       BottomLayer RES_0603_1608X60-N_YAGEO_A                    64.5000      24.0000      180      "RES SMD 47 OHM 5% 1/4W 0603"                                                                             ERJ-PA3J470V                       "Panasonic Electronic Components"   
R102       BottomLayer RES_0603_1608X60-N_YAGEO_A                    64.5000      22.5997      180      "RES SMD 47 OHM 5% 1/4W 0603"                                                                             ERJ-PA3J470V                       "Panasonic Electronic Components"   
R101       BottomLayer RES_0603_1608X60-N_YAGEO_A                    64.5000      21.1995      180      "RES SMD 47 OHM 5% 1/4W 0603"                                                                             ERJ-PA3J470V                       "Panasonic Electronic Components"   
R100       BottomLayer RES_0603_1608X60-N_YAGEO_A                    64.5000      19.7992      180      "RES SMD 47 OHM 5% 1/4W 0603"                                                                             ERJ-PA3J470V                       "Panasonic Electronic Components"   
Q101       BottomLayer SOT23-3P95_237X112L60-N_ANALOG_A              58.7000      26.7000      0        "MOSFET N-CH 40V 4.6A SOT23"                                                                              DMN4035LQ-13                       "Diodes Incorporated"               
Q100       TopLayer    SOT23-3P95_237X112L60-N_ANALOG_A              53.1000      17.5000      0        "MOSFET N-CH 40V 4.6A SOT23"                                                                              DMN4035LQ-13                       "Diodes Incorporated"               
L200       TopLayer    SUMIDA_CDRH2D18_HP_A                          9.6391       13.6104      0        "FIXED IND 10UH 900MA 245MOHM SMD"                                                                        CDRH2D18/HPNP-100NC                "Sumida America Components Inc."    
L101       TopLayer    VISHAY_IHLP2525CZ_647X647X300_A               14.7750      33.0000      180      "FIXED IND 10UH 4A 76.9 MOHM SMD"                                                                         IHLP2525CZER100M8A                 "Vishay Dale"                       
L100       TopLayer    VISHAY_IHLP2525CZ_647X647X300_A               39.2750      37.6000      180      "FIXED IND 10UH 4A 76.9 MOHM SMD"                                                                         IHLP2525CZER100M8A                 "Vishay Dale"                       
FB113      TopLayer    IND_0603_1608X95-N_AVX_A                      63.5000      35.8000      270      "FERRITE BEAD 120 OHM 0603 1LN"                                                                           BLM18EG121SN1D                     "Murata Electronics"                
FB110      BottomLayer IND_0603_1608X95-N_AVX_A                      65.7250      30.3498      0        "FERRITE BEAD 120 OHM 0603 1LN"                                                                           BLM18EG121SN1D                     "Murata Electronics"                
FB112      BottomLayer IND_0402_1005X60-N_AVX_A                      66.6750      34.9000      180      "FERRITE BEAD 600 OHM 0402 1LN"                                                                           BLM15BD601SN1D                     "Murata Electronics"                
FB109      BottomLayer IND_0603_1608X95-N_AVX_A                      68.8250      26.0000      0        "FERRITE BEAD 220 OHM 0603 1LN"                                                                           BLM18AG221SN1D                     "Murata Electronics"                
FB111      BottomLayer IND_0402_1005X60-N_AVX_A                      66.6750      33.6000      180      "FERRITE BEAD 600 OHM 0402 1LN"                                                                           BLM15BD601SN1D                     "Murata Electronics"                
FB107      BottomLayer IND_0603_1608X95-N_AVX_A                      77.1002      22.2500      90       "FERRITE BEAD 120 OHM 0603 1LN"                                                                           BLM18EG121SN1D                     "Murata Electronics"                
FB108      BottomLayer IND_0603_1608X95-N_AVX_A                      64.2000      28.7000      180      "FERRITE BEAD 120 OHM 0603 1LN"                                                                           BLM18EG121SN1D                     "Murata Electronics"                
FB106      TopLayer    IND_0603_1608X95-N_AVX_A                      60.8000      27.1000      180      "FERRITE BEAD 220 OHM 0603 1LN"                                                                           BLM18AG221SN1D                     "Murata Electronics"                
FB105      TopLayer    IND_0402_1005X60-N_AVX_A                      80.0000      18.6000      90       "FERRITE BEAD 600 OHM 0402 1LN"                                                                           BLM15BD601SN1D                     "Murata Electronics"                
FB104      TopLayer    IND_0402_1005X60-N_AVX_A                      78.7000      18.6000      90       "FERRITE BEAD 600 OHM 0402 1LN"                                                                           BLM15BD601SN1D                     "Murata Electronics"                
FB103      BottomLayer IND_0603_1608X95-N_AVX_A                      72.4000      16.3997      0        "FERRITE BEAD 120 OHM 0603 1LN"                                                                           BLM18EG121SN1D                     "Murata Electronics"                
FB102      TopLayer    IND_0603_1608X95-N_AVX_A                      64.7000      15.8003      180      "FERRITE BEAD 120 OHM 0603 1LN"                                                                           BLM18EG121SN1D                     "Murata Electronics"                
FB101      TopLayer    IND_0603_1608X95-N_AVX_A                      55.8000      14.1500      270      "FERRITE BEAD 120 OHM 0603 1LN"                                                                           BLM18EG121SN1D                     "Murata Electronics"                
FB100      TopLayer    IND_0603_1608X95-N_AVX_A                      49.1000      13.4000      180      "FERRITE BEAD 120 OHM 0603 1LN"                                                                           BLM18EG121SN1D                     "Murata Electronics"                
F100       TopLayer    FUSE_1206-N_YAGEO_A                           64.0000      30.4500      180      "3 A 125 V AC 63 V DC Fuse Board Mount (Cartridge Style Excluded) Surface Mount 1206 (3216 Metric)"       "C1Q 3"                            "Bel Fuse Inc."                     
D142       BottomLayer NXP_SOD-323_250X125X95L30x32_A                42.4008      8.4000       0        "DIODE SCHOTTKY 30V 200MA"                                                                                CUS520,H3F                         "Toshiba Semiconductor and Storage" 
D141       BottomLayer NXP_SOD-323_250X125X95L30x32_A                41.4000      11.6000      270      "DIODE SCHOTTKY 30V 200MA"                                                                                CUS520,H3F                         "Toshiba Semiconductor and Storage" 
D140       BottomLayer NXP_SOD-323_250X125X95L30x32_A                45.8000      9.2000       270      "DIODE SCHOTTKY 30V 200MA"                                                                                CUS520,H3F                         "Toshiba Semiconductor and Storage" 
D139       BottomLayer NXP_SOD-323_250X125X95L30x32_A                43.6000      11.6000      90       "DIODE SCHOTTKY 30V 200MA"                                                                                CUS520,H3F                         "Toshiba Semiconductor and Storage" 
D138       BottomLayer NXP_SOD-323_250X125X95L30x32_A                26.7000      7.3000       270      "DIODE SCHOTTKY 30V 200MA"                                                                                CUS520,H3F                         "Toshiba Semiconductor and Storage" 
D137       BottomLayer NXP_SOD-323_250X125X95L30x32_A                24.6000      7.3000       90       "DIODE SCHOTTKY 30V 200MA"                                                                                CUS520,H3F                         "Toshiba Semiconductor and Storage" 
D136       TopLayer    NXP_SOD-323_250X125X95L30x32_A                27.2000      3.0000       90       "DIODE SCHOTTKY 30V 200MA"                                                                                CUS520,H3F                         "Toshiba Semiconductor and Storage" 
D135       TopLayer    NXP_SOD-323_250X125X95L30x32_A                25.1000      3.0000       270      "DIODE SCHOTTKY 30V 200MA"                                                                                CUS520,H3F                         "Toshiba Semiconductor and Storage" 
D134       TopLayer    NXP_SOD-323_250X125X95L30x32_A                27.2000      7.3000       270      "DIODE SCHOTTKY 30V 200MA"                                                                                CUS520,H3F                         "Toshiba Semiconductor and Storage" 
D133       TopLayer    NXP_SOD-323_250X125X95L30x32_A                25.1000      7.3000       90       "DIODE SCHOTTKY 30V 200MA"                                                                                CUS520,H3F                         "Toshiba Semiconductor and Storage" 
D132       BottomLayer NXP_SOD-323_250X125X95L30x32_A                26.7000      3.0000       90       "DIODE SCHOTTKY 30V 200MA"                                                                                CUS520,H3F                         "Toshiba Semiconductor and Storage" 
D131       BottomLayer NXP_SOD-323_250X125X95L30x32_A                24.6000      3.0000       270      "DIODE SCHOTTKY 30V 200MA"                                                                                CUS520,H3F                         "Toshiba Semiconductor and Storage" 
D130       TopLayer    NXP_SOD-323_250X125X95L30x32_A                60.5000      30.7500      270      "37V Clamp 5A (8/20µs) Ipp Tvs Diode Surface Mount SOD-323"                                               PESD12VL1BA,115                    "Nexperia USA Inc."                 
D129       TopLayer    DIOM519X260X240L114X145-N_WURTH_A             30.7497      33.0000      0        "SCHOTTKY RECTIFIER SMA T&R 10K"                                                                          SDT3A45SA-13                       "Diodes Incorporated"               
D123       TopLayer    NXP_SOD-323_250X125X95L30x32_A                64.4000      40.7000      180      "12.5V Clamp 4.8A (8/20µs) Ipp Tvs Diode Surface Mount SOD-323"                                           PESD5V0V1BA,115                    "Nexperia USA Inc."                 
D127       TopLayer    NXP_SOD-323_250X125X95L30x32_A                65.4000      35.5000      270      "37V Clamp 5A (8/20µs) Ipp Tvs Diode Surface Mount SOD-323"                                               PESD12VL1BA,115                    "Nexperia USA Inc."                 
D126       BottomLayer NXP_SOD-323_250X125X95L30x32_A                74.5750      27.5000      180      "12.5V Clamp 4.8A (8/20µs) Ipp Tvs Diode Surface Mount SOD-323"                                           PESD5V0V1BA,115                    "Nexperia USA Inc."                 
D125       TopLayer    NXP_SOD-323_250X125X95L30x32_A                78.3000      36.8000      270      "12.5V Clamp 4.8A (8/20µs) Ipp Tvs Diode Surface Mount SOD-323"                                           PESD5V0V1BA,115                    "Nexperia USA Inc."                 
D124       BottomLayer SOT23-3P95_230X100L30-N_NEXPERIA_A            70.2000      34.2500      0        "70V Clamp 3A (8/20µs) Ipp Tvs Diode Surface Mount TO-236AB"                                              PESD1CAN,215                       "Nexperia USA Inc."                 
D128       TopLayer    NXP_SOD-323_250X125X95L30x32_A                64.4000      38.6000      180      "12.5V Clamp 4.8A (8/20µs) Ipp Tvs Diode Surface Mount SOD-323"                                           PESD5V0V1BA,115                    "Nexperia USA Inc."                 
D120       BottomLayer NXP_SOD-323_250X125X95L30x32_A                74.5000      33.4998      180      "37V Clamp 5A (8/20µs) Ipp Tvs Diode Surface Mount SOD-323"                                               PESD12VL1BA,115                    "Nexperia USA Inc."                 
D122       BottomLayer NXP_SOD-323_250X125X95L30x32_A                74.4500      25.0000      180      "37V Clamp 5A (8/20µs) Ipp Tvs Diode Surface Mount SOD-323"                                               PESD12VL1BA,115                    "Nexperia USA Inc."                 
D121       TopLayer    NXP_SOD-323_250X125X95L30x32_A                80.4000      36.8000      270      "12.5V Clamp 4.8A (8/20µs) Ipp Tvs Diode Surface Mount SOD-323"                                           PESD5V0V1BA,115                    "Nexperia USA Inc."                 
D119       TopLayer    NXP_SOD-323_250X125X95L30x32_A                64.4000      17.7000      180      "12.5V Clamp 4.8A (8/20µs) Ipp Tvs Diode Surface Mount SOD-323"                                           PESD5V0V1BA,115                    "Nexperia USA Inc."                 
D118       TopLayer    NXP_SOD-323_250X125X95L30x32_A                64.4000      28.3000      180      "37V Clamp 5A (8/20µs) Ipp Tvs Diode Surface Mount SOD-323"                                               PESD12VL1BA,115                    "Nexperia USA Inc."                 
D117       BottomLayer NXP_SOD-323_250X125X95L30x32_A                78.9000      19.6497      0        "37V Clamp 5A (8/20µs) Ipp Tvs Diode Surface Mount SOD-323"                                               PESD12VL1BA,115                    "Nexperia USA Inc."                 
D116       TopLayer    NXP_SOD-323_250X125X95L30x32_A                64.4000      21.9000      180      "12.5V Clamp 4.8A (8/20µs) Ipp Tvs Diode Surface Mount SOD-323"                                           PESD5V0V1BA,115                    "Nexperia USA Inc."                 
D115       TopLayer    SOT23-3P95_230X100L30-N_NEXPERIA_A            79.3000      21.4000      0        "70V Clamp 3A (8/20µs) Ipp Tvs Diode Surface Mount TO-236AB"                                              PESD1CAN,215                       "Nexperia USA Inc."                 
D114       BottomLayer NXP_SOD-323_250X125X95L30x32_A                79.3000      30.0000      0        "37V Clamp 5A (8/20µs) Ipp Tvs Diode Surface Mount SOD-323"                                               PESD12VL1BA,115                    "Nexperia USA Inc."                 
D113       TopLayer    NXP_SOD-323_250X125X95L30x32_A                64.4000      19.8000      180      "12.5V Clamp 4.8A (8/20µs) Ipp Tvs Diode Surface Mount SOD-323"                                           PESD5V0V1BA,115                    "Nexperia USA Inc."                 
D112       TopLayer    NXP_SOD-323_250X125X95L30x32_A                64.4000      26.1000      180      "12.5V Clamp 4.8A (8/20µs) Ipp Tvs Diode Surface Mount SOD-323"                                           PESD5V0V1BA,115                    "Nexperia USA Inc."                 
D111       TopLayer    NXP_SOD-323_250X125X95L30x32_A                64.4000      24.0000      180      "12.5V Clamp 4.8A (8/20µs) Ipp Tvs Diode Surface Mount SOD-323"                                           PESD5V0V1BA,115                    "Nexperia USA Inc."                 
D109       BottomLayer NXP_SOD-323_250X125X95L30x32_A                63.1250      9.7500       270      "12.5V Clamp 4.8A (8/20µs) Ipp Tvs Diode Surface Mount SOD-323"                                           PESD5V0V1BA,115                    "Nexperia USA Inc."                 
D107       BottomLayer NXP_SOD-323_250X125X95L30x32_A                61.0000      9.7500       270      "12.5V Clamp 4.8A (8/20µs) Ipp Tvs Diode Surface Mount SOD-323"                                           PESD5V0V1BA,115                    "Nexperia USA Inc."                 
D106       TopLayer    NXP_SOD-323_250X125X95L30x32_A                64.7000      13.9000      180      "37V Clamp 5A (8/20µs) Ipp Tvs Diode Surface Mount SOD-323"                                               PESD12VL1BA,115                    "Nexperia USA Inc."                 
D104       BottomLayer NXP_SOD-323_250X125X95L30x32_A                57.1255      9.6250       270      "12.5V Clamp 4.8A (8/20µs) Ipp Tvs Diode Surface Mount SOD-323"                                           PESD5V0V1BA,115                    "Nexperia USA Inc."                 
D103       TopLayer    NXP_SOD-323_250X125X95L30x32_A                52.8000      13.3000      0        "37V Clamp 5A (8/20µs) Ipp Tvs Diode Surface Mount SOD-323"                                               PESD12VL1BA,115                    "Nexperia USA Inc."                 
D102       TopLayer    NXP_SOD-323_250X125X95L30x32_A                51.5000      1.6250       180      "12.5V Clamp 4.8A (8/20µs) Ipp Tvs Diode Surface Mount SOD-323"                                           PESD5V0V1BA,115                    "Nexperia USA Inc."                 
D105       BottomLayer NXP_SOD-323_250X125X95L30x32_A                59.0000      5.4000       90       "12.5V Clamp 4.8A (8/20µs) Ipp Tvs Diode Surface Mount SOD-323"                                           PESD5V0V1BA,115                    "Nexperia USA Inc."                 
D101       BottomLayer NXP_SOD-323_250X125X95L30x32_A                52.7503      9.6250       270      "12.5V Clamp 4.8A (8/20µs) Ipp Tvs Diode Surface Mount SOD-323"                                           PESD5V0V1BA,115                    "Nexperia USA Inc."                 
D100       TopLayer    NXP_SOD-323_250X125X95L30x32_A                56.0000      1.6250       180      "12.5V Clamp 4.8A (8/20µs) Ipp Tvs Diode Surface Mount SOD-323"                                           PESD5V0V1BA,115                    "Nexperia USA Inc."                 
C410       BottomLayer CAP_0603_1608X90-N_MURATA_A                   77.1000      9.8498       270      "CAP CER 1UF 25V X7R 0603"                                                                                CGA3E1X7R1E105M080AE               "TDK Corporation"                   
C409       BottomLayer CAP_0603_1608X90-N_MURATA_A                   80.0002      13.7576      180      "CAP CER 4700PF 50V X7R 0603"                                                                             CGA3E2X7R1H472K080AA               "TDK Corporation"                   
C408       TopLayer    CAP_0603_1608X90-N_MURATA_A                   77.0000      15.4000      180      "CAP CER 100PF 100V C0G 0603"                                                                             CGA3E2C0G2A101J080AA               "TDK Corporation"                   
C407       TopLayer    CAP_0603_1608X90-N_MURATA_A                   80.0000      15.4000      0        "CAP CER 100PF 100V C0G 0603"                                                                             CGA3E2C0G2A101J080AA               "TDK Corporation"                   
C406       TopLayer    CAP_0603_1608X90-N_MURATA_A                   74.5000      13.3000      315      "CAP CER 100PF 100V C0G 0603"                                                                             CGA3E2C0G2A101J080AA               "TDK Corporation"                   
C405       TopLayer    CAP_0603_1608X90-N_MURATA_A                   77.6000      9.8000       270      "CAP CER 1UF 25V X7R 0603"                                                                                CGA3E1X7R1E105M080AE               "TDK Corporation"                   
C404       TopLayer    CAP_0603_1608X90-N_MURATA_A                   74.0000      2.5000       180      "CAP CER 1UF 25V X7R 0603"                                                                                CGA3E1X7R1E105M080AE               "TDK Corporation"                   
C403       BottomLayer CAP_0603_1608X90-N_MURATA_A                   57.3000      19.3000      270      "CAP CER 1UF 25V X7R 0603"                                                                                CGA3E1X7R1E105M080AE               "TDK Corporation"                   
C402       BottomLayer CAP_0603_1608X90-N_MURATA_A                   51.8000      19.7000      270      "CAP CER 1UF 25V X7R 0603"                                                                                CGA3E1X7R1E105M080AE               "TDK Corporation"                   
C401       BottomLayer CAP_0603_1608X90-N_MURATA_A                   54.5000      16.0000      0        "CAP CER 1UF 25V X7R 0603"                                                                                CGA3E1X7R1E105M080AE               "TDK Corporation"                   
C400       BottomLayer CAP_0603_1608X90-N_MURATA_A                   59.5000      15.8000      0        "CAP CER 1UF 25V X7R 0603"                                                                                CGA3E1X7R1E105M080AE               "TDK Corporation"                   
C314       TopLayer    CAP_0603_1608X90-N_MURATA_A                   60.8000      25.5000      0        "CAP CER 100PF 100V C0G 0603"                                                                             CGA3E2C0G2A101J080AA               "TDK Corporation"                   
C313       TopLayer    CAP_0603_1608X90-N_MURATA_A                   49.8000      24.7000      270      "CAP CER 1UF 25V X7R 0603"                                                                                CGA3E1X7R1E105M080AE               "TDK Corporation"                   
C312       TopLayer    CAP_0603_1608X90-N_MURATA_A                   52.8000      28.2000      0        "CAP CER 1UF 25V X7R 0603"                                                                                CGA3E1X7R1E105M080AE               "TDK Corporation"                   
C311       TopLayer    CAP_0603_1608X90-N_MURATA_A                   56.3000      28.2000      0        "CAP CER 100PF 100V C0G 0603"                                                                             CGA3E2C0G2A101J080AA               "TDK Corporation"                   
C310       BottomLayer CAP_0603_1608X90-N_MURATA_A                   58.1000      36.8000      0        "CAP CER 1UF 25V X7R 0603"                                                                                CGA3E1X7R1E105M080AE               "TDK Corporation"                   
C309       BottomLayer CAP_0603_1608X90-N_MURATA_A                   47.6000      40.4000      180      "CAP CER 1UF 25V X7R 0603"                                                                                CGA3E1X7R1E105M080AE               "TDK Corporation"                   
C308       BottomLayer CAP_0603_1608X90-N_MURATA_A                   55.4000      40.5000      270      "CAP CER 1UF 25V X7R 0603"                                                                                CGA3E1X7R1E105M080AE               "TDK Corporation"                   
C307       BottomLayer CAP_0603_1608X90-N_MURATA_A                   50.5000      36.8000      0        "CAP CER 1UF 25V X7R 0603"                                                                                CGA3E1X7R1E105M080AE               "TDK Corporation"                   
C306       TopLayer    CAP_0603_1608X90-N_MURATA_A                   52.2000      37.9000      180      "CAP CER 1UF 25V X7R 0603"                                                                                CGA3E1X7R1E105M080AE               "TDK Corporation"                   
C305       TopLayer    CAP_0603_1608X90-N_MURATA_A                   56.5000      40.9000      270      "CAP CER 4700PF 50V X7R 0603"                                                                             CGA3E2X7R1H472K080AA               "TDK Corporation"                   
C304       BottomLayer CAP_0603_1608X90-N_MURATA_A                   64.8750      32.7000      270      "CAP CER 100PF 100V C0G 0603"                                                                             CGA3E2C0G2A101J080AA               "TDK Corporation"                   
