Altium Designer Pick and Place Locations
C:\Dott\LIDO\lido-hardware\LIDO_HW_2022_04_V01\Output Documents\04_Fabrication_Files\PickAndPlace\LIDO_V03_DEVELOPMENT_04_07_2022.txt

========================================================================================================================
File Design Information:

Date:       02/07/22
Time:       21:35
Revision:   872b464fc55dbc7c29d34195fc9c3aeae9c73039
Variant:    DEVELOPMENT
Units used: mm

Designator Layer       Footprint                                     Center-X(mm) Center-Y(mm) Rotation Description                                                                                               "Manufacturer Part Number"         Manufacturer                        
U302       BottomLayer SSOP8P65_295X400X130L40X25-N_TI_A             58.1000      40.5003      90       "Voltage Level Translator Bidirectional 1 Circuit 2 Channel 24Mbps SM8"                                   TCA9406DCTR                        "Texas Instruments"                 
U301       TopLayer    SOT23-8P65_280X145L45-N_TI_A                  56.1000      37.6001      0        "IC SWITCH DUAL SPST SOT23-8"                                                                             TS3A4741DCNR                       "Texas Instruments"                 
U300       BottomLayer SOIC8P127_490X600X175L84X41-N_TI_A            54.5000      32.8000      0        "IC TRANSCEIVER 1/1 8SO"                                                                                  ATA6561-GAQW                       "Microchip Technology"              
U203       BottomLayer VSSOP8P65_300X490X110L55X32-N_TI_A            38.2747      23.5000      90       "Temperature Sensor Digital, Local -40°C ~ 125°C 11 b 8-VSSOP"                                            TMP75AIDGKR                        "Texas Instruments"                 
U202       TopLayer    SOIC8P127_490X600X175L84X41-N_TI_A            38.5000      12.4000      180      "IC AUTHENTICATION CHIP 8SOIC"                                                                            ATECC608A-SSH4E-T                  "Microchip Technology"              
U201       BottomLayer SOT23-6P95_280X145L45-N_TI_A                  8.2501       7.0992       180      "Supervisor Open Drain or Open Collector 1 Channel SOT-23-6"                                              TPS3808G01DBVR                     "Texas Instruments"                 
U200       TopLayer    BGA120CP50_15X15_800X800X120B25-N_MICROCHIP_A 17.0000      17.2498      90       "ARM® Cortex®-M4F series Microcontroller IC 32-Bit Single-Core 120MHz 1MB (1M x 8) FLASH 120-TFBGA (8x8)" ATSAME54P20A-CTUT                  "Microchip Technology"              
U103       BottomLayer SSOP8P65_295X400X130L40X25-N_TI_A             33.9503      11.9997      90       "Voltage Level Translator Bidirectional 1 Circuit 2 Channel 24Mbps SM8"                                   TCA9406DCTR                        "Texas Instruments"                 
R411       BottomLayer RES_0603_1608X60-N_YAGEO_A                    79.9002      12.3073      0        "RES SMD 62 OHM 1% 1/10W 0603"                                                                            ERJ-3EKF62R0V                      "Panasonic Electronic Components"   
R410       BottomLayer RES_0603_1608X60-N_YAGEO_A                    79.7000      9.8000       90       "RES 10K OHM 1% 1/10W 0603"                                                                               RC0603FR-0710KL                    YAGEO                               
R409       BottomLayer RES_0603_1608X60-N_YAGEO_A                    79.9002      15.2079      0        "RES SMD 62 OHM 1% 1/10W 0603"                                                                            ERJ-3EKF62R0V                      "Panasonic Electronic Components"   
R406       TopLayer    RES_0603_1608X60-N_YAGEO_A                    70.3000      11.2000      270      "RES 33 OHM 5% 1/10W 0603"                                                                                RC0603JR-0733RL                    YAGEO                               
R404       TopLayer    RES_0603_1608X60-N_YAGEO_A                    71.1000      13.4000      180      "RES 10K OHM 1% 1/10W 0603"                                                                               RC0603FR-0710KL                    YAGEO                               
R402       BottomLayer RES_0603_1608X60-N_YAGEO_A                    57.3000      22.2000      270      "RES 10K OHM 1% 1/10W 0603"                                                                               RC0603FR-0710KL                    YAGEO                               
R401       BottomLayer RES_0603_1608X60-N_YAGEO_A                    54.4000      24.1000      90       "RES 10K OHM 1% 1/10W 0603"                                                                               RC0603FR-0710KL                    YAGEO                               
R400       BottomLayer RES_0603_1608X60-N_YAGEO_A                    50.8000      21.9000      0        "RES 0 OHM JUMPER 1/10W 0603"                                                                             RC0603JR-070RL                     YAGEO                               
R318       TopLayer    RES_0603_1608X60-N_YAGEO_A                    60.0000      23.1000      0        "RES 0 OHM JUMPER 1/10W 0603"                                                                             RC0603JR-070RL                     YAGEO                               
R317       TopLayer    RES_0603_1608X60-N_YAGEO_A                    56.5000      26.1000      90       "RES 0 OHM JUMPER 1/10W 0603"                                                                             RC0603JR-070RL                     YAGEO                               
